
¿Comer pizza o milanesa?,pizza,milanesa
¿Ver una película en casa o en el cine?,casa,cine
¿Prefieres dulce o salado?,dulce,salado
¿Verano o invierno?,verano,invierno
¿Tener un perro o un gato como mascota?,perro,gato
¿Leer un libro o ver una serie?,libro,serie
¿El mar o la pileta?,mar,pileta
¿Helado de chocolate o vainilla?,chocolate,vainilla
¿Viajar en tren o en coche?,tren,coche
¿El mate con o sin azucar?,con,sin
¿Te gusta más el día o la noche?,día,noche
¿Desayunar café o té?,café,té
¿Vivir en la ciudad o en el campo?,ciudad,campo
¿Tener superpoderes de volar o fuerza?,volar,fuerza
¿Te gustaría más la música pop o el rock?,pop,rock
¿Optarías por la playa o la nieve?,playa,nieve
¿Prefieres lavar ropa o platos?,ropa,platos
¿Te gusta más la comedia o el drama?,comedia,drama
¿Una conversación por llamada o mensaje de texto?,llamada,texto
¿Día lluvioso o soleado?,lluvioso,soleado
